transaction_id,date,product_id,product_name,product_category,quantity,ppu,amount,customer_id,region,company_name
T004842,2025-01-17,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon,Horizon Logistics Co.
T004843,2025-01-17,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T004844,2025-01-17,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon,Horizon Logistics Co.
T005179,2025-01-18,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000,Customer-001,Yangon,Horizon Logistics Co.
T005180,2025-01-18,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon,Horizon Logistics Co.
T005181,2025-01-18,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon,Horizon Logistics Co.
T005484,2025-01-19,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon,Horizon Logistics Co.
T005485,2025-01-19,PROD-007,USB-C Docking Station,Electronics,7,340000,2380000,Customer-001,Yangon,Horizon Logistics Co.
T006112,2025-01-21,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon,Horizon Logistics Co.
T006411,2025-01-22,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon,Horizon Logistics Co.
T006412,2025-01-22,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T006731,2025-01-23,PROD-002,Wireless Mechanical Keyboard,Electronics,5,380000,1900000,Customer-001,Yangon,Horizon Logistics Co.
T007045,2025-01-24,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon,Horizon Logistics Co.
T007349,2025-01-25,PROD-002,Wireless Mechanical Keyboard,Electronics,2,380000,760000,Customer-001,Yangon,Horizon Logistics Co.
T007673,2025-01-26,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon,Horizon Logistics Co.
T008010,2025-01-27,PROD-010,Webcam 1080p HD,Electronics,3,180000,540000,Customer-001,Yangon,Horizon Logistics Co.
T008011,2025-01-27,PROD-003,27-inch 4K Monitor,Electronics,5,1200000,6000000,Customer-001,Yangon,Horizon Logistics Co.
T008297,2025-01-28,PROD-010,Webcam 1080p HD,Electronics,2,180000,360000,Customer-001,Yangon,Horizon Logistics Co.
T008298,2025-01-28,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000,Customer-001,Yangon,Horizon Logistics Co.
T008599,2025-01-29,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000,Customer-001,Yangon,Horizon Logistics Co.
T008600,2025-01-29,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000,Customer-001,Yangon,Horizon Logistics Co.
T008873,2025-01-30,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon,Horizon Logistics Co.
T008874,2025-01-30,PROD-003,27-inch 4K Monitor,Electronics,2,1200000,2400000,Customer-001,Yangon,Horizon Logistics Co.
T008875,2025-01-30,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon,Horizon Logistics Co.
T009195,2025-01-31,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon,Horizon Logistics Co.
T009493,2025-02-01,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T009494,2025-02-01,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T009817,2025-02-02,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T009818,2025-02-02,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon,Horizon Logistics Co.
T009819,2025-02-02,PROD-004,Standing Desk Converter,Furniture,3,500000,1500000,Customer-001,Yangon,Horizon Logistics Co.
T011062,2025-02-06,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon,Horizon Logistics Co.
T011063,2025-02-06,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000,Customer-001,Yangon,Horizon Logistics Co.
T011364,2025-02-07,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T011658,2025-02-08,PROD-007,USB-C Docking Station,Electronics,10,340000,3400000,Customer-001,Yangon,Horizon Logistics Co.
T011659,2025-02-08,PROD-007,USB-C Docking Station,Electronics,9,340000,3060000,Customer-001,Yangon,Horizon Logistics Co.
T012272,2025-02-10,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon,Horizon Logistics Co.
T012563,2025-02-11,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon,Horizon Logistics Co.
T012878,2025-02-12,PROD-007,USB-C Docking Station,Electronics,8,340000,2720000,Customer-001,Yangon,Horizon Logistics Co.
T012879,2025-02-12,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon,Horizon Logistics Co.
T012880,2025-02-12,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T012881,2025-02-12,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon,Horizon Logistics Co.
T013172,2025-02-13,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T013173,2025-02-13,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon,Horizon Logistics Co.
T013477,2025-02-14,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T013478,2025-02-14,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000,Customer-001,Yangon,Horizon Logistics Co.
T013479,2025-02-14,PROD-001,Ergonomic Mesh Chair,Furniture,7,750000,5250000,Customer-001,Yangon,Horizon Logistics Co.
T013480,2025-02-14,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon,Horizon Logistics Co.
T013481,2025-02-14,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T013789,2025-02-15,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon,Horizon Logistics Co.
T014069,2025-02-16,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon,Horizon Logistics Co.
T014381,2025-02-17,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon,Horizon Logistics Co.
T014653,2025-02-18,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,6,25500,153000,Customer-001,Yangon,Horizon Logistics Co.
T014968,2025-02-19,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon,Horizon Logistics Co.
T014969,2025-02-19,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon,Horizon Logistics Co.
T015278,2025-02-20,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon,Horizon Logistics Co.
T015279,2025-02-20,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon,Horizon Logistics Co.
T015280,2025-02-20,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon,Horizon Logistics Co.
T015410,2025-02-21,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon,Horizon Logistics Co.
T015552,2025-02-22,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon,Horizon Logistics Co.
T015553,2025-02-22,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon,Horizon Logistics Co.
T015715,2025-02-23,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon,Horizon Logistics Co.
T015845,2025-02-24,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon,Horizon Logistics Co.
T015846,2025-02-24,PROD-003,27-inch 4K Monitor,Electronics,10,1200000,12000000,Customer-001,Yangon,Horizon Logistics Co.
T015847,2025-02-24,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon,Horizon Logistics Co.
T015987,2025-02-25,PROD-005,Noise-Cancelling Headphones,Electronics,3,900000,2700000,Customer-001,Yangon,Horizon Logistics Co.
T015988,2025-02-25,PROD-010,Webcam 1080p HD,Electronics,4,180000,720000,Customer-001,Yangon,Horizon Logistics Co.
T015989,2025-02-25,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon,Horizon Logistics Co.
T016125,2025-02-26,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon,Horizon Logistics Co.
T016126,2025-02-26,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon,Horizon Logistics Co.
T016127,2025-02-26,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon,Horizon Logistics Co.
T016272,2025-02-27,PROD-007,USB-C Docking Station,Electronics,5,340000,1700000,Customer-001,Yangon,Horizon Logistics Co.
T016432,2025-02-28,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon,Horizon Logistics Co.
T016433,2025-02-28,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon,Horizon Logistics Co.
T016434,2025-02-28,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon,Horizon Logistics Co.
T016590,2025-03-01,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon,Horizon Logistics Co.
T016591,2025-03-01,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon,Horizon Logistics Co.
T016592,2025-03-01,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon,Horizon Logistics Co.
T016593,2025-03-01,PROD-002,Wireless Mechanical Keyboard,Electronics,1,380000,380000,Customer-001,Yangon,Horizon Logistics Co.
T016594,2025-03-01,PROD-009,Adjustable Monitor Arm,Furniture,5,195000,975000,Customer-001,Yangon,Horizon Logistics Co.
T016595,2025-03-01,PROD-005,Noise-Cancelling Headphones,Electronics,10,900000,9000000,Customer-001,Yangon,Horizon Logistics Co.
T016738,2025-03-02,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon,Horizon Logistics Co.
T016739,2025-03-02,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon,Horizon Logistics Co.
T016884,2025-03-03,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon,Horizon Logistics Co.
T016885,2025-03-03,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon,Horizon Logistics Co.
T017038,2025-03-04,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T017039,2025-03-04,PROD-003,27-inch 4K Monitor,Electronics,10,1200000,12000000,Customer-001,Yangon,Horizon Logistics Co.
T017040,2025-03-04,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon,Horizon Logistics Co.
T017193,2025-03-05,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon,Horizon Logistics Co.
T017350,2025-03-06,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon,Horizon Logistics Co.
T017501,2025-03-07,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon,Horizon Logistics Co.
T017502,2025-03-07,PROD-005,Noise-Cancelling Headphones,Electronics,4,900000,3600000,Customer-001,Yangon,Horizon Logistics Co.
T017503,2025-03-07,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon,Horizon Logistics Co.
T017814,2025-03-09,PROD-005,Noise-Cancelling Headphones,Electronics,10,900000,9000000,Customer-001,Yangon,Horizon Logistics Co.
T017951,2025-03-10,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000,Customer-001,Yangon,Horizon Logistics Co.
T018085,2025-03-11,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon,Horizon Logistics Co.
T018086,2025-03-11,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon,Horizon Logistics Co.
T018240,2025-03-12,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T018241,2025-03-12,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000,Customer-001,Yangon,Horizon Logistics Co.
T018242,2025-03-12,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon,Horizon Logistics Co.
T018398,2025-03-13,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T018399,2025-03-13,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T018550,2025-03-14,PROD-007,USB-C Docking Station,Electronics,9,340000,3060000,Customer-001,Yangon,Horizon Logistics Co.
T018864,2025-03-16,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T018865,2025-03-16,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon,Horizon Logistics Co.
T019015,2025-03-17,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000,Customer-001,Yangon,Horizon Logistics Co.
T019157,2025-03-18,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon,Horizon Logistics Co.
T019158,2025-03-18,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon,Horizon Logistics Co.
T019159,2025-03-18,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon,Horizon Logistics Co.
T019160,2025-03-18,PROD-007,USB-C Docking Station,Electronics,4,340000,1360000,Customer-001,Yangon,Horizon Logistics Co.
T019161,2025-03-18,PROD-010,Webcam 1080p HD,Electronics,9,180000,1620000,Customer-001,Yangon,Horizon Logistics Co.
T019292,2025-03-19,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon,Horizon Logistics Co.
T019293,2025-03-19,PROD-003,27-inch 4K Monitor,Electronics,8,1200000,9600000,Customer-001,Yangon,Horizon Logistics Co.
T019294,2025-03-19,PROD-007,USB-C Docking Station,Electronics,3,340000,1020000,Customer-001,Yangon,Horizon Logistics Co.
T019436,2025-03-20,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon,Horizon Logistics Co.
T019437,2025-03-20,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon,Horizon Logistics Co.
T019570,2025-03-21,PROD-003,27-inch 4K Monitor,Electronics,6,1200000,7200000,Customer-001,Yangon,Horizon Logistics Co.
T019571,2025-03-21,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T019572,2025-03-21,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon,Horizon Logistics Co.
T019703,2025-03-22,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon,Horizon Logistics Co.
T019857,2025-03-23,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon,Horizon Logistics Co.
T019858,2025-03-23,PROD-007,USB-C Docking Station,Electronics,8,340000,2720000,Customer-001,Yangon,Horizon Logistics Co.
T019859,2025-03-23,PROD-002,Wireless Mechanical Keyboard,Electronics,5,380000,1900000,Customer-001,Yangon,Horizon Logistics Co.
T020017,2025-03-24,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon,Horizon Logistics Co.
T020018,2025-03-24,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon,Horizon Logistics Co.
T020164,2025-03-25,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000,Customer-001,Yangon,Horizon Logistics Co.
T020165,2025-03-25,PROD-004,Standing Desk Converter,Furniture,6,500000,3000000,Customer-001,Yangon,Horizon Logistics Co.
T020308,2025-03-26,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon,Horizon Logistics Co.
T020309,2025-03-26,PROD-009,Adjustable Monitor Arm,Furniture,5,195000,975000,Customer-001,Yangon,Horizon Logistics Co.
T020457,2025-03-27,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,25500,127500,Customer-001,Yangon,Horizon Logistics Co.
T020618,2025-03-28,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon,Horizon Logistics Co.
T020619,2025-03-28,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T020774,2025-03-29,PROD-002,Wireless Mechanical Keyboard,Electronics,4,380000,1520000,Customer-001,Yangon,Horizon Logistics Co.
T020948,2025-03-30,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,25500,51000,Customer-001,Yangon,Horizon Logistics Co.
T020949,2025-03-30,PROD-008,Executive Ballpoint Pen Box,Office Supplies,3,70000,210000,Customer-001,Yangon,Horizon Logistics Co.
T021081,2025-03-31,PROD-007,USB-C Docking Station,Electronics,4,340000,1360000,Customer-001,Yangon,Horizon Logistics Co.
T021082,2025-03-31,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,8,25500,204000,Customer-001,Yangon,Horizon Logistics Co.
T021083,2025-03-31,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T021235,2025-04-01,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon,Horizon Logistics Co.
T021236,2025-04-01,PROD-003,27-inch 4K Monitor,Electronics,2,1200000,2400000,Customer-001,Yangon,Horizon Logistics Co.
T021237,2025-04-01,PROD-010,Webcam 1080p HD,Electronics,4,180000,720000,Customer-001,Yangon,Horizon Logistics Co.
T021378,2025-04-02,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon,Horizon Logistics Co.
T021537,2025-04-03,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon,Horizon Logistics Co.
T021538,2025-04-03,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T021539,2025-04-03,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon,Horizon Logistics Co.
T021683,2025-04-04,PROD-007,USB-C Docking Station,Electronics,10,340000,3400000,Customer-001,Yangon,Horizon Logistics Co.
T021684,2025-04-04,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon,Horizon Logistics Co.
T021685,2025-04-04,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon,Horizon Logistics Co.
T021848,2025-04-05,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon,Horizon Logistics Co.
T022005,2025-04-06,PROD-003,27-inch 4K Monitor,Electronics,7,1200000,8400000,Customer-001,Yangon,Horizon Logistics Co.
T022006,2025-04-06,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T022128,2025-04-07,PROD-007,USB-C Docking Station,Electronics,5,340000,1700000,Customer-001,Yangon,Horizon Logistics Co.
T022129,2025-04-07,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,25500,255000,Customer-001,Yangon,Horizon Logistics Co.
T022266,2025-04-08,PROD-001,Ergonomic Mesh Chair,Furniture,9,750000,6750000,Customer-001,Yangon,Horizon Logistics Co.
T022267,2025-04-08,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon,Horizon Logistics Co.
T022416,2025-04-09,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T022557,2025-04-10,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T022809,2025-04-12,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon,Horizon Logistics Co.
T022810,2025-04-12,PROD-005,Noise-Cancelling Headphones,Electronics,1,900000,900000,Customer-001,Yangon,Horizon Logistics Co.
T022922,2025-04-13,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon,Horizon Logistics Co.
T022923,2025-04-13,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon,Horizon Logistics Co.
T023029,2025-04-14,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon,Horizon Logistics Co.
T023030,2025-04-14,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T023031,2025-04-14,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon,Horizon Logistics Co.
T023032,2025-04-14,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon,Horizon Logistics Co.
T023239,2025-04-16,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon,Horizon Logistics Co.
T023240,2025-04-16,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,25500,102000,Customer-001,Yangon,Horizon Logistics Co.
T023466,2025-04-18,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,25500,255000,Customer-001,Yangon,Horizon Logistics Co.
T023467,2025-04-18,PROD-008,Executive Ballpoint Pen Box,Office Supplies,5,70000,350000,Customer-001,Yangon,Horizon Logistics Co.
T023547,2025-04-19,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T023938,2025-04-23,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon,Horizon Logistics Co.
T024119,2025-04-25,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T024120,2025-04-25,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon,Horizon Logistics Co.
T024226,2025-04-26,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,25500,102000,Customer-001,Yangon,Horizon Logistics Co.
T024227,2025-04-26,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T024321,2025-04-27,PROD-005,Noise-Cancelling Headphones,Electronics,3,900000,2700000,Customer-001,Yangon,Horizon Logistics Co.
T024423,2025-04-28,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon,Horizon Logistics Co.
T024424,2025-04-28,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon,Horizon Logistics Co.
T024526,2025-04-29,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T024527,2025-04-29,PROD-002,Wireless Mechanical Keyboard,Electronics,2,380000,760000,Customer-001,Yangon,Horizon Logistics Co.
T024528,2025-04-29,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,25500,51000,Customer-001,Yangon,Horizon Logistics Co.
T024621,2025-04-30,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon,Horizon Logistics Co.
T024622,2025-04-30,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon,Horizon Logistics Co.
T024708,2025-05-01,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon,Horizon Logistics Co.
